Rk,Player,Link,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Salary,Signed Using
1,Steven Adams,adamsst01,C,26,OKC,58,58,27,4.5,7.6,0.591,0,0.1,0.333,4.5,7.6,0.593,0.593,1.9,3.2,0.59,3.4,6,9.4,2.4,0.9,1.1,1.5,1.9,10.9,2020,25842697,1st Round Pick
2,Bam Adebayo,adebaba01,PF,22,MIA,65,65,34.4,6.3,11.1,0.567,0,0.2,0.077,6.3,10.9,0.576,0.568,3.6,5.3,0.69,2.5,8,10.5,5.1,1.2,1.3,2.8,2.5,16.2,2020,3454080,1st Round Pick
3,LaMarcus Aldridge,aldrila01,C,34,SAS,53,53,33.1,7.4,15,0.493,1.2,3,0.389,6.2,12,0.519,0.532,3,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,2020,26000000,Cap Space
4,Nickeil Alexander-Walker,alexani01,SG,21,NOP,41,0,12.2,1.9,5.5,0.339,1,2.9,0.342,0.9,2.7,0.336,0.427,0.4,0.7,0.607,0.2,1.8,2,1.8,0.3,0.2,1,1.1,5.1,2020,2964840,1st Round Pick
5,Grayson Allen,allengr01,SG,24,MEM,30,0,16.6,2.6,5.9,0.449,1.1,3,0.363,1.5,2.8,0.541,0.543,1,1.2,0.857,0.2,2,2.2,1.4,0.2,0,0.8,1.2,7.4,2020,2429400,1st Round Pick
6,Jarrett Allen,allenja01,C,21,BRK,64,58,25.7,4.2,6.5,0.646,0,0.1,0,4.2,6.4,0.654,0.646,2.3,3.7,0.62,3,6.4,9.5,1.3,0.6,1.3,1.1,2.3,10.6,2020,2376840,1st Round Pick
8,Al-Farouq Aminu,aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,2020,9258000,MLE
10,Kyle Anderson,anderky01,PF,26,MEM,59,20,19.3,2.3,4.7,0.493,0.3,1.1,0.258,2.1,3.7,0.56,0.521,0.7,1.1,0.652,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7,2020,9073050,MLE
12,Giannis Antetokounmpo,antetgi01,PF,25,MIL,57,57,30.9,10.9,20,0.547,1.5,4.8,0.306,9.5,15.2,0.622,0.583,6.3,10,0.633,2.3,11.5,13.7,5.8,1,1,3.7,3,29.6,2020,25842697,1st Round Pick
14,Thanasis Antetokounmpo,antetth01,SF,27,MIL,18,2,5.2,1.1,2,0.528,0,0.4,0,1.1,1.6,0.655,0.528,0.4,0.8,0.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5,2020,1445697,Minimum Salary
15,Carmelo Anthony,anthoca01,PF,35,POR,50,50,32.5,5.8,13.6,0.426,1.4,3.9,0.371,4.3,9.7,0.447,0.479,2.3,2.7,0.843,1.2,5,6.3,1.6,0.8,0.5,1.7,2.8,15.3,2020,2159029,Minimum Salary
