Rk,Player,Tm,Cap Hit,2012-13,2013-14,2014-15,2015-16,2016-17,Signed Using,Guaranteed
340,John Jenkins,ATL,1204560,1204560,1258800,1312920,2228025,,1st Round Pick,2463360
341,Hasheem Thabeet,OKC,1200000,1200000,1200000,1250000,,,MLE,1200000
342,Jordan Crawford,BOS,1198680,1198680,2162419,,,,1st Round Pick,3361099
343,Greivis Vasquez,NOH,1191240,1191240,2150188,,,,1st Round Pick,3341428
344,Christian Eyenga,ORL,1174080,1174080,,,,,,1174080
345,Lazar Hayward,HOU,1174080,1174080,,,,,,1174080
346,MarShon Brooks,BRK,1160040,1160040,1210080,2179354,,,1st Round Pick,2370120
347,Jared Cunningham,DAL,1156320,1156320,1208400,1260360,2204370,,1st Round Pick,2364720
348,Ronnie Price,POR,1146337,1146337,,,,,,1146337
349,Jordan Hamilton,DEN,1121520,1121520,1169880,2109294,,,1st Round Pick,2291400
350,Tony Wroten,MEM,1110120,1110120,1160040,1210080,2179354,,1st Round Pick,2270160
351,JaJuan Johnson,HOU,1089240,1089240,,,,,,1089240
352,Patty Mills,SAS,1085120,1085120,1133950,,,,Non Bird Rights,1085120
353,Norris Cole,MIA,1082520,1082520,1129200,2038206,,,1st Round Pick,2211720
354,Cory Joseph,SAS,1074720,1074720,1120920,2023261,,,1st Round Pick,2195640
355,Miles Plumlee,IND,1073280,1073280,1121520,1169880,2109294,,1st Round Pick,2194800
356,Kelenna Azubuike,CLE,1069509,1069509,,,,,,1069509
357,Jimmy Butler,CHI,1066920,1066920,1112880,2008748,,,1st Round Pick,2179800
358,Devin Ebanks,LAL,1054389,1054389,,,,,Early Bird Rights,1054389
359,Luke Harangody,CLE,1054389,1054389,,,,,,1054389
360,Luke Harangody,CLE,1054389,1054389,,,,,Early Bird Rights,1054389
361,DeJuan Blair,SAS,1054000,1054000,,,,,MLE,1054000
362,Arnett Moultrie,PHI,1042320,1042320,1089240,1136160,2049633,,1st Round Pick,2131560
363,Perry Jones,OKC,1035960,1035960,1082520,1129200,2038206,,1st Round Pick,2118480
364,Festus Ezeli,GSW,1020960,1020960,1066920,1112880,2008748,,1st Round Pick,2087880
365,Shaun Livingston,HOU,1000000,1000000,,,,,,1000000
366,Jon Brockman,HOU,1000000,1000000,,,,,,1000000
367,Kyle Singler,DET,1000000,1000000,1045000,1090000,,,MLE,3135000
368,Jeremy Pargo,CLE,1000000,1000000,,,,,,1000000
369,Dominic McGuire,TOR,992680,992680,,,,,,992680
370,Brandan Wright,DAL,992680,992680,,,,,Minimum Salary,992680
371,C.J. Watson,BRK,992680,992680,1106942,,,,Minimum Salary,992680
372,Darius Morris,LAL,962195,962195,,,,,Minimum Salary,
373,Ivan Johnson,ATL,962195,962195,,,,,Minimum Salary,962195
374,Ishmael Smith,MIL,910491,910491,951463,992435,,,Non Bird Rights,1861954
375,Chandler Parsons,HOU,888250,888250,926500,964750,,,Cap Space,888250
376,DeMarre Carroll,UTA,885120,885120,,,,,Minimum Salary,885120
377,Chase Budinger,MIN,885120,885120,,,,,MLE,885120
378,Lance Stephenson,IND,870000,870000,930000,,,,MLE,870000
379,Marquis Teague,CHI,857000,857000,1074720,1120920,2023261,,1st Round Pick,1931720
380,Morris Almond,WAS,854389,,,,,,,
381,Maurice Evans,WAS,854389,,,,,,,
382,James Singleton,WAS,854389,,,,,,,
383,Cartier Martin,WAS,854389,915852,,,,,Minimum Salary,854389
384,A.J. Price,WAS,854389,885120,,,,,Minimum Salary,854389
385,Jason Collins,WAS,854389,1352181,,,,,Minimum Salary,854389
386,Leandro Barbosa,WAS,854389,1229255,,,,,Minimum Salary,854389
387,Alan Anderson,TOR,854389,885120,,,,,Minimum Salary,854389
388,Glenn Robinson,SAS,854389,,,,,,,
389,Damon Stoudamire,SAS,854389,,,,,,,
390,Jacque Vaughn,SAS,854389,,,,,,,
391,Nick Van Exel,SAS,854389,,,,,,,
392,Gary Neal,SAS,854389,854389,,,,,MLE,854389
393,Jermaine O'Neal,PHO,854389,1352181,,,,,Cap Space,854389
394,Royal Ivey,PHI,854389,1223166,,,,,Minimum Salary,854389
395,Damien Wilkins,PHI,854389,1223166,,,,,Minimum Salary,854389
396,Jeremy Richardson,ORL,854389,,,,,,,
397,Ronnie Brewer,ORL,854389,1069509,,,,,Minimum Salary,854389
398,Daniel Orton,OKC,854389,854389,916099,,,,Minimum Salary,854389
399,Mike Bibby,NYK,854389,,,,,,,
400,Baron Davis,NYK,854389,,,,,,,
401,Rasheed Wallace,NYK,854389,1352181,,,,,,854389
402,James White,NYK,854389,854389,916099,,,,Minimum Salary,854389
403,Roger Mason,NOH,854389,1223166,,,,,Minimum Salary,854389
404,Louis Amundson,MIN,854389,1069509,,,,,,854389
405,Marquis Daniels,MIL,854389,1229255,,,,,Minimum Salary,854389
406,Joel Przybilla,MIL,854389,1352181,,,,,Minimum Salary,854389
407,Marcus Williams,MEM,854389,,,,,,,
408,Gilbert Arenas,MEM,854389,,,,,,,
409,Lester Hudson,MEM,854389,,,,,,,
410,Leon Powe,MEM,854389,,,,,,,
411,Dexter Pittman,MEM,854389,854389,,,,,,854389
412,John Salley,LAL,854389,,,,,,,
413,Theo Ratliff,LAL,854389,,,,,,,
414,Joe Smith,LAL,854389,,,,,,,
415,Jim Jackson,LAL,854389,,,,,,,
416,Ira Newble,LAL,854389,,,,,,,
417,Horace Grant,LAL,854389,,,,,,,
418,Brian Shaw,LAL,854389,,,,,,,
419,Mitch Richmond,LAL,854389,,,,,,,
420,Antawn Jamison,LAL,854389,1352181,,,,,Minimum Salary,854389
421,Bobby Simmons,LAC,854389,,,,,,,
422,Ronny Turiaf,LAC,854389,1146337,,,,,Minimum Salary,854389
423,Ryan Hollins,LAC,854389,1069509,,,,,Minimum Salary,854389
424,Matt Barnes,LAC,854389,1229255,,,,,Minimum Salary,854389
425,Earl Boykins,HOU,854389,,,,,,,
426,Wesley Person,DEN,854389,,,,,,,
427,Delonte West,DAL,854389,1223166,,,,,,854389
428,Brian Scalabrine,CHI,854389,,,,,,,
429,Vladimir Radmanovic,CHI,854389,1352181,,,,,Minimum Salary,854389
430,Nate Robinson,CHI,854389,1146337,,,,,Minimum Salary,854389
431,Nazr Mohammed,CHI,854389,1352181,,,,,Minimum Salary,854389
432,Jerry Stackhouse,BRK,854389,1352181,,,,,Minimum Salary,854389
433,Keith Bogans,BRK,854389,1229255,,,,,Minimum Salary,854389
434,Andray Blatche,BRK,854389,1146337,,,,,Minimum Salary,854389
435,Stephon Marbury,BOS,854389,,,,,,,
436,Dana Barros,BOS,854389,,,,,,,
437,Grant Long,BOS,854389,,,,,,,
438,Mark Bryant,BOS,854389,,,,,,,
439,Michael Finley,BOS,854389,,,,,,,
440,Michael Olowokandi,BOS,854389,,,,,,,
441,P.J. Brown,BOS,854389,,,,,,,
442,Scot Pollard,BOS,854389,,,,,,,
443,Shaquille O'Neal,BOS,854389,,,,,,,
444,Carlos Arroyo,BOS,854389,,,,,,,
445,Chris Wilcox,BOS,854389,1352181,,,,,Minimum Salary,854389
446,Erick Dampier,ATL,854389,,,,,,,
447,Etan Thomas,ATL,854389,,,,,,,
448,Hilton Armstrong,ATL,854389,,,,,,,
449,Randolph Morris,ATL,854389,,,,,,,
450,Anthony Tolliver,ATL,854389,915852,,,,,Minimum Salary,854389
451,Draymond Green,GSW,850000,850000,875500,915243,,,MLE,1975500
452,Brad Miller,PHO,848000,848000,,,,,,848000
453,Tyler Honeycutt,HOU,809875,809875,100000,,,,,909875
454,Kyle O'Quinn,ORL,788872,788872,788872,915243,,,MLE,788872
455,Shaun Livingston,CLE,768950,1100849,,,,,Minimum Salary,768950
456,Isaiah Thomas,SAC,762195,762195,884293,,,,Cap Space,762195
457,P.J. Tucker,PHO,762195,762195,884293,,,,Cap Space,762195
458,Charles Jenkins,PHI,762195,762195,,,,,Cap Space,762195
459,Justin Harper,ORL,762195,762195,,,,,,762195
460,E'Twaun Moore,ORL,762195,762195,884293,,,,Minimum Salary,762195
461,DeAndre Liggins,OKC,762195,762195,884293,,,,Minimum Salary,762195
462,Lance Thomas,NOH,762195,762195,884293,,,,MLE,762195
463,Malcolm Lee,MIN,762195,762195,884293,,,,Cap Space,1646488
464,Trey Thompkins,LAC,762195,762195,,,,,,762195
465,Greg Smith,HOU,762195,762195,884293,,,,Room Exception,762195
466,Vernon Macklin,DET,762195,,,,,,,
467,Julyan Stone,DEN,762195,762195,,,,,Minimum Salary,762195
468,Josh Selby,CLE,762195,762195,,,,,,762195
469,Jon Leuer,CLE,762195,762195,,,,,Cap Space,762195
470,Jordan Williams,ATL,762195,762195,,,,,,420000
471,Jeremy Tyler,ATL,762195,762195,100000,,,,,862195
472,James Anderson,HOU,741176,741176,,,,,Cap Space,741176
473,Mickael Pietrus,TOR,698589,1005097,,,,,Minimum Salary,698589
474,Quincy Acy,TOR,665000,665000,788872,915243,,,Cap Space,1453872
475,,CHA,653356,653356,916099,,,,Minimum Salary,653356
476,Doron Lamb,ORL,650000,650000,788872,915243,,,MLE,1438872
477,Derek Fisher,HOU,644005,644005,,,,,,644005
478,Jae Crowder,DAL,600941,600941,788872,915243,,,Cap Space,1389363
479,Martell Webster,MIN,600000,600000,,,,,Cap Space,600000
480,Jeff Taylor,CHA,575000,575000,788872,915243,,,Cap Space,1363872
481,Garrett Temple,WAS,572943,572943,,,,,Minimum Salary,572943
482,Will Barton,POR,550000,550000,788872,915243,,,Cap Space,1338872
483,Orlando Johnson,IND,550000,550000,788872,915243,,,Cap Space,1338872
484,Daequan Cook,CHI,512633,595608,,,,,Minimum Salary,512633
485,Kevin Murphy,UTA,473604,473604,788872,,,,Minimum Salary,473604
486,Luke Zeller,PHO,473604,473604,,,,,,473604
487,Diante Garrett,PHO,473604,473604,,,,,Cap Space,473604
488,DeQuan Jones,ORL,473604,473604,,,,,Minimum Salary,473604
489,Pablo Prigioni,NYK,473604,473604,,,,,Minimum Salary,473604
490,Chris Copeland,NYK,473604,473604,,,,,Minimum Salary,473604
491,Brian Roberts,NOH,473604,473604,788872,,,,Minimum Salary,473604
492,Darius Miller,NOH,473604,473604,788872,,,,Minimum Salary,473604
493,Robert Sacre,LAL,473604,473604,,,,,Minimum Salary,473604
494,Ben Hansbrough,IND,473604,473604,,,,,Minimum Salary,473604
495,Kent Bazemore,GSW,473604,473604,788872,,,,Minimum Salary,473604
496,Khris Middleton,DET,473604,473604,788872,915243,,,MLE,1262476
497,Kim English,DET,473604,473604,788872,,,,Minimum Salary,473604
498,Quincy Miller,DEN,473604,473604,788872,915243,,,MLE,473604
499,Bernard James,DAL,473604,473604,788872,,,,Minimum Salary,473604
500,Tyshawn Taylor,BRK,473604,473604,788872,,,,Minimum Salary,1262476
501,Tornike Shengelia,BRK,473604,473604,788872,,,,Minimum Salary,1262476
502,Mike Scott,ATL,473604,473604,788872,,,,Minimum Salary,473604
503,Josh Childress,BRK,440386,440386,,,,,,440386
504,Mike James,DAL,402065,636320,,,,,Minimum Salary,402065
505,Keyon Dooling,BOS,400000,400000,,,,,,400000
506,Kevin Jones,CLE,390027,390027,788872,,,,Minimum Salary,390027
507,Earl Barron,WAS,384360,384360,,,,,,384360
508,Sam Young,IND,369668,369668,,,,,,369668
509,Sam Young,IND,369668,402065,,,,,Minimum Salary,402065
510,Samardo Samuels,CLE,356833,356833,,,,,,356833
511,Mickael Gelabale,MIN,346781,346781,916099,,,,Minimum Salary,346781
512,Chris Johnson,MIN,346781,346781,916099,,,,Minimum Salary,346781
513,Chris Andersen,MIA,341756,540872,,,,,Minimum Salary,341756
514,Josh Harrellson,MIA,322812,322812,,,,,,322812
515,Terrel Harris,MIA,313845,313845,,,,,,313845
516,Shelvin Mack,WAS,300000,300000,,,,,,300000
517,(Michael Eric),CLE,300000,300000,,,,,,300000
518,Patrick Beverley,HOU,298092,298092,788872,915243,,,Cap Space,298092
519,Josh Howard,MIN,274775,274775,,,,,,274775
520,Jeremy Pargo,PHI,264527,264527,,,,,,264527
521,Donald Sloan,CLE,264527,264527,,,,,,264527
522,Derek Fisher,OKC,261343,413608,,,,,Minimum Salary,261343
523,Troy Murphy,DAL,250000,250000,,,,,,250000
524,Terrence Williams,BOS,244710,244710,947907,,,,Minimum Salary,244710
525,Aron Baynes,SAS,239588,239588,788872,,,,Minimum Salary,1028460
526,Scott Machado,HOU,236082,236082,,,,,,236082
527,Jarvis Varnado,MIA,217301,217301,788872,,,,Minimum Salary,217301
528,Derek Fisher,DAL,206804,206804,,,,,,206804
529,Darius Johnson-Odom,LAL,200585,200585,,,,,,200585
530,Maalik Wayns,PHI,197799,197799,,,,,,197799
531,Kris Joseph,BOS,197799,197799,,,,,,197799
532,Cory Higgins,CHA,192791,192791,,,,,,192791
533,Louis Amundson,NOH,185955,232775,,,,,Minimum Salary,185955
534,Darko Milicic,BOS,180773,180773,,,,,,180773
535,Kenyon Martin,NYK,170878,270436,,,,,Minimum Salary,170878
536,Chris Quinn,CLE,169340,169340,1106942,,,,Cap Space,169340
537,Shavlik Randolph,BOS,163500,163500,1106942,,,,Minimum Salary,163500
538,James Anderson,SAS,160826,160826,,,,,,160826
539,D.J. White,BOS,156234,156234,1027424,,,,MInimum Salary,156234
540,Tim Ohlbrecht,HOU,144867,144867,788872,915243,,,Minimum Salary,144867
541,Jannero Pargo,WAS,137387,137387,,,,,,137387
542,Juwan Howard,MIA,135697,214758,,,,,Minimum Salary,135697
543,Dominic McGuire,NOH,128464,128464,,,,,,128464
544,Shelvin Mack,ATL,103121,103121,884293,,,,Minimum Salary,103121
545,Daniel Orton,OKC,100000,100000,,,,,,100000
546,Will Conroy,MIN,100000,100000,,,,,,100000
547,Terrel Harris,NOH,94154,94154,884293,,,,Minimum Salary,94154
548,Keyon Dooling,MEM,75387,119310,,,,,Minimum Salary,75387
549,Jannero Pargo,CHA,75387,108464,,,,,Cap Space,75387
550,(Hollis Thompson),OKC,75000,75000,,,,,,75000
551,DaJuan Summers,LAC,72892,72892,947907,,,,Minimum Salary,72892
552,Chris Douglas-Roberts,DAL,72892,72892,,,,,,72892
553,Shelvin Mack,WAS,71736,71736,,,,,,71736
554,Eddy Curry,DAL,55678,55678,,,,,,55678
555,Kenyon Martin,NYK,50258,79540,,,,,,50258
556,Kenyon Martin,NYK,50258,79540,,,,,,50258
557,Lazar Hayward,MIN,50258,50258,,,,,,50258
558,Chris Johnson,MIN,50258,50258,,,,,,50258
559,Mickael Gelabale,MIN,50258,50258,,,,,,50258
560,Chris Johnson,MIN,50258,50258,,,,,,50258
561,Mickael Gelabale,MIN,50258,50258,,,,,,50258
562,Juwan Howard,MIA,50258,79540,,,,,,50258
563,Juwan Howard,MIA,50258,79540,,,,,,50258
564,Chris Andersen,MIA,50258,79540,,,,,,50258
565,Chris Andersen,MIA,50258,79540,,,,,,50258
566,DaJuan Summers,LAC,50258,52066,,,,,,50258
567,DaJuan Summers,LAC,50258,52066,,,,,,50258
568,Dominic McGuire,IND,50258,58393,,,,,,50258
569,Dominic McGuire,IND,50258,58393,,,,,,50258
570,Mike James,DAL,50258,79540,,,,,,50258
571,Mike James,DAL,50258,79540,,,,,,50258
572,Louis Amundson,CHI,50258,62912,,,,,,50258
573,Jannero Pargo,CHA,50258,72309,,,,,,50258
574,Jannero Pargo,CHA,50258,72309,,,,,,50258
575,Damion James,BRK,50258,50258,,,,,,50258
576,Shavlik Randolph,BOS,50258,58393,,,,,,50258
577,D.J. White,BOS,50258,53874,,,,,,50258
578,Shavlik Randolph,BOS,50258,58393,,,,,,50258
579,D.J. White,BOS,50258,53874,,,,,,50258
580,Terrence Williams,BOS,50258,52066,,,,,,50258
581,Jannero Pargo,ATL,50258,72309,,,,,,50258
582,Jannero Pargo,ATL,50258,72309,,,,,,50258
583,Kevin Jones,CLE,50000,50000,,,,,,50000
584,Justin Holiday,PHI,47360,47360,788872,,,,Minimum Salary,47360
585,Travis Leslie,UTA,44835,44835,,,,,,44835
586,Jeremy Pargo,PHI,44835,44835,,,,,,44835
587,Shelvin Mack,PHI,44835,44835,,,,,,44835
588,Shelvin Mack,PHI,44835,44835,,,,,,44835
589,Terrel Harris,NOH,44835,44835,,,,,,44835
590,Terrel Harris,NOH,44835,44835,,,,,,44835
591,Donald Sloan,NOH,44835,44835,,,,,,44835
592,Josh Harrellson,MIA,44835,44835,,,,,,44835
593,Malcolm Thomas,GSW,44835,44835,,,,,,44835
594,Justin Dentmon,DAL,44835,44835,,,,,,44835
595,Malcolm Thomas,CHI,44835,44835,,,,,,44835
596,Malcolm Thomas,CHI,44835,44835,,,,,,44835
597,Malcolm Thomas,CHI,44835,44835,884293,,,,Minimum Salary,44835
598,Shelvin Mack,ATL,44835,44835,,,,,,44835
599,Shelvin Mack,ATL,44835,44835,,,,,,44835
600,Jarvis Varnado,BOS,39003,39003,,,,,,39003
601,Solomon Jones,NYK,37747,37747,,,,,,37747
602,Lazar Hayward,MIN,35181,35181,,,,,,35181
603,Jerel McNeal,UTA,33431,33431,788872,,,,Minimum Salary,33431
604,(Jerel McNeal),UTA,27859,27859,,,,,,27859
605,Maalik Wayns,PHI,27859,27859,,,,,,27859
606,Henry Sims,NOH,27859,27859,,,,,,27859
607,Jarvis Varnado,MIA,27859,27859,,,,,,27859
608,Jarvis Varnado,MIA,27859,27859,,,,,,27859
609,Chris Johnson,MEM,27859,27859,,,,,,27859
610,Chris Johnson,MEM,27859,27859,,,,,,27859
611,Maalik Wayns,LAC,27859,27859,,,,,,27859
612,Maalik Wayns,LAC,27859,27859,,,,,,27859
613,Scott Machado,GSW,27859,27859,,,,,,27859
614,Josh Akognon,DAL,27859,27859,,,,,,27859
615,Chris Wright,DAL,27859,27859,,,,,,27859
616,Kris Joseph,BRK,27859,27859,,,,,,27859
617,Andy Rautins,OKC,25000,25000,,,,,,25000
618,Sundiata Gaines,IND,25000,25000,,,,,,25000
619,Blake Ahearn,IND,25000,25000,,,,,,25000
620,(Dionte Christmas),BOS,25000,25000,,,,,,25000
621,(Jamar Smith),BOS,25000,25000,,,,,,25000
622,Andrew Goudelock,LAL,17934,17934,,,,,Minimum Salary,17934
623,Kris Joseph,BRK,16715,16715,788872,,,,Minimum Salary,16715
624,Brian Cook,WAS,14462,14462,,,,,,14462
625,Josh Akognon,DAL,13930,13930,788872,,,,Minimum Salary,13930
626,Tracy McGrady,SAS,10052,15908,,,,,Minimum Salary,10052
627,Quentin Richardson,NYK,10052,15908,,,,,Minimum Salary,10052
628,Dwayne Jones,GSW,5839,5839,1106942,,,,Minimum Salary,5839
629,Donte Greene,MEM,5387,5387,1027424,,,,Minimum Salary,5387
630,Earl Barron,NYK,5026,6743,,,,,Minimum Salary,5026
631,Willie Reed,MEM,2786,2786,788872,,,,Minimum Salary,2786
632,Scott Machado,GSW,2786,2786,788872,,,,Minimum Salary,2786
