Rk,Player,Tm,Cap Hit,2012-13,2013-14,2014-15,2015-16,2016-17,Signed Using,Guaranteed
77,Thaddeus Young,PHI,8289130,8289130,8850000,9410870,9971739,,Bird Rights,36521739
78,Marvin Williams,UTA,8287500,8287500,7500000,,,,Bird Rights,15787500
79,Lamar Odom,LAC,8200000,8200000,,,,,Bird Rights,8200000
80,John Salmons,SAC,8083000,8083000,7583000,7000000,,,Bird Rights,16666000
81,Charlie Villanueva,DET,8060000,8060000,8580000,,,,Cap Space,8060000
82,Caron Butler,LAC,8000000,8000000,8000000,,,,Cap Space,16000000
83,George Hill,IND,8000000,8000000,8000000,8000000,8000000,8000000,Bird Rights,40000000
84,Chris Kaman,DAL,8000000,8000000,,,,,Cap Space,8000000
85,Tyrus Thomas,CHA,8000000,8000000,8694215,9388430,,,Bird Rights,26082645
86,Ersan Ilyasova,MIL,7900000,7900000,7900000,7900000,7900000,8400000,Bird Rights,32000000
87,Arron Afflalo,ORL,7750000,7750000,7750000,7750000,7937500,,Bird Rights,23687500
88,Marcus Thornton,SAC,7525000,7525000,8050000,8575000,,,Cap Space,24150000
89,Mike Conley,MEM,7505786,7505786,8200001,8894216,9588426,,Cap Space,34188429
90,Goran Dragic,PHO,7500000,7500000,7500000,7500000,7500000,,Cap Space,22500000
91,Beno Udrih,ORL,7372200,7372200,,,,,MLE,7372200
92,DeSagana Diop,CHA,7372200,7372200,,,,,MLE,7372200
93,Trevor Ariza,WAS,7258960,7258960,7727280,,,,DPE,7258960
94,Marcin Gortat,PHO,7258960,7258960,7727280,,,,Early Bird Rights,14986240
95,Metta World Peace,LAL,7258960,7258960,7727280,,,,MLE,7258960
96,Blake Griffin,LAC,7226892,7226892,16402500,17632688,18862875,20093063,1st Round Pick,101541268
97,Steven Hunter,MEM,7022400,,,,,,,
98,Robert Horry,SAS,6897000,,,,,,,
99,Tayshaun Prince,MEM,6764045,6764045,7235955,7707865,,,Bird Rights,21707865
100,Samuel Dalembert,MIL,6698565,6698565,,,,,Cap Space,6698565
101,Al Harrington,ORL,6687400,6687400,7148600,7609800,,,MLE,14066600
102,Drew Gooden,MIL,6687400,6687400,6687400,6687400,,,MLE,20062200
103,Wesley Matthews,POR,6505320,6505320,6875480,7245640,,,MLE,20626440
104,Spencer Hawes,PHI,6500000,6500000,6500000,,,,Bird Rights,13000000
105,Glen Davis,ORL,6400000,6400000,6400000,6600000,,,Bird Rights,19400000
106,Greg Ostertag,UTA,6305000,,,,,,,
107,Landry Fields,TOR,6250000,6250000,6250000,6250000,,,Cap Room,18750000
108,J.J. Redick,MIL,6190000,6190000,,,,,Bird Rights,6190000
109,Francisco Garcia,HOU,6100000,6100000,6400000,,,,Bird Rights,6100000
110,Luke Walton,CLE,6091363,6091363,,,,,Bird Rights,6091363
111,Richard Hamilton,DET,6069767,6069767,,,,,,6069767
112,Amir Johnson,TOR,6000000,6000000,6500000,7000000,,,Bird Rights,17500000
113,Channing Frye,PHO,6000000,6000000,6400000,6800000,,,MLE,12400000
114,Brandon Bass,BOS,6000000,6000000,6450000,6900000,,,Bird Rights,19350000
115,Wilson Chandler,DEN,5930414,5930414,6344164,6757913,7171663,,Bird Rights,21032491
116,John Wall,WAS,5915880,5915880,7459925,,,,1st Round Pick,13375805
117,James Harden,HOU,5820417,5820417,13668750,14693906,15719063,16744219,1st Round Pick,75531043
118,Mike Miller,MIA,5800000,5800000,6200000,6600000,,,Cap Space,12000000
119,Jason Richardson,PHI,5799625,5799625,6204250,6601125,,,Bird Rights,12003875
120,Kyle Lowry,TOR,5750000,5750000,6210000,,,,Bird Rights,6750000
121,Michael Beasley,PHO,5750000,5750000,6000000,6250000,,,Cap Space,11750000
122,Nick Young,PHI,5600000,5600000,,,,,Cap Space,5600000
123,Chuck Hayes,SAC,5486250,5486250,5722500,5958750,,,Cap Room,17167500
124,Rudy Fernandez,DEN,5451108,,,,,,,
125,Jarrett Jack,GSW,5400000,5400000,,,,,MLE,5400000
126,Kyrie Irving,CLE,5375760,5375760,5607240,7070730,,,1st Round Pick,10983000
127,Evan Turner,PHI,5293080,5293080,6679867,,,,1st Round Pick,11972947
128,Tyreke Evans,SAC,5251825,5251825,,,,,1st Round Pick,5251825
129,Jason Thompson,SAC,5250000,5250000,5643750,6037500,6431250,6825000,Bird Rights,26012500
130,Zaza Pachulia,ATL,5248750,5248750,,,,,Bird Rights,5248750
131,Anthony Davis,NOH,5144280,5144280,5375760,5607240,7070730,,1st Round Pick,10520040
132,Brandon Roy,MIN,5100000,5100000,5329500,,,,Cap Space,5100000
133,Jamal Crawford,LAC,5000000,5000000,5225000,5450000,5675000,,MLE,13225000
134,Jason Maxiell,DET,5000000,5000000,,,,,Bird Rights,5000000
135,Andre Miller,DEN,5000000,5000000,5000000,4625000,,,Bird Rights,12000000
136,Richard Hamilton,CHI,5000000,5000000,5000000,,,,MLE,6000000
137,Ramon Sessions,CHA,5000000,5000000,5000000,,,,Cap Space,10000000
