Rk,Player,Link,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
142,J.J. Redick,redicjj01,LAC,7377500,,,,,,Bird Rights,7377500
143,Cory Joseph,josepco01,TOR,7330000,7660000,8000000,,,,Cap Space,14990000
144,D.J. Augustin,augusdj01,ORL,7250000,7250000,7250000,7250000,,,Cap Space,29000000
145,Boban Marjanovic,marjabo01,DET,7000000,7000000,7000000,,,,Cap Space,21000000
146,Lou Williams,willilo02,HOU,7000000,7000000,,,,,Cap Space,14000000
147,Boris Diaw,diawbo01,UTA,7000000,7500000,,,,,Bird Rights,7000000
148,Rodney Stuckey,stuckro01,IND,7000000,,,,,,,7000000
149,Ed Davis,davised01,POR,6666667,6352531,,,,,Cap Space,13019198
150,Isaiah Thomas,thomais02,BOS,6587132,6261395,,,,,,12848527
151,Victor Oladipo,oladivi01,OKC,6552960,21000000,21000000,21000000,21000000,,1st Round Pick,90552960
152,Jodie Meeks,meeksjo01,ORL,6540000,,,,,,Cap Space,6540000
153,Jeremy Lamb,lambje01,CHO,6511628,7000000,7488372,,,,Rookie scale extension,21000000
154,Carl Landry,landrca01,PHI,6500000,,,,,,,6500000
155,Aron Baynes,baynear01,DET,6500000,6500000,,,,,Cap Space,6500000
156,Spencer Hawes,hawessp01,MIL,6348759,6021175,,,,,MLE,12369934
157,Marco Belinelli,belinma01,CHO,6333333,6333333,,,,,Cap Space,12666666
158,Jae Crowder,crowdja01,BOS,6286408,6796117,7305825,7815533,,,Bird Rights,28203883
159,Lance Thomas,thomala01,NYK,6191000,6655325,7119650,7583975,,,Cap Space,19965975
160,Tarik Black,blackta01,LAL,6191000,6655325,,,,,Cap Space,6191000
161,Matt Barnes,barnema02,SAC,6125000,6400625,,,,,,6125000
162,Andrew Nicholson,nichoan01,BRK,6088993,6362998,6637002,6911007,,,Cap Space,19088993
163,Patrick Patterson,pattepa01,TOR,6050000,,,,,,Bird Rights,6050000
164,Andrew Wiggins,wiggian01,MIN,6006600,7574322,,,,,1st Round Pick,13580922
165,Ish Smith,smithis01,DET,6000000,6000000,6000000,,,,Cap Space,18000000
166,Patrick Beverley,beverpa01,HOU,6000000,5500000,5000000,,,,Bird Rights,11500000
167,Wayne Ellington,ellinwa01,MIA,6000000,6270000,,,,,Cap Space,6000000
168,Ramon Sessions,sessira01,CHO,6000000,6270000,,,,,Cap Space,6000000
169,Alex Abrines,abrinal01,OKC,5994764,5725000,5455236,,,,Cap Space,17175000
170,Karl-Anthony Towns,townska01,MIN,5960160,6216840,7839435,,,,1st round pick,12177000
171,Ben Simmons,simmobe01,PHI,5903160,6168840,6434520,8113930,,,1st Round pick,12072000
172,Otto Porter,porteot01,WAS,5893981,,,,,,1st Round Pick,5893981
173,Josh McRoberts,mcrobjo01,MIA,5782450,6021175,,,,,MLE,11803625
174,Shaun Livingston,livinsh01,GSW,5782450,,,,,,MLE,5782450
175,Nikola Mirotic,mirotni01,CHI,5782450,,,,,,Cap Space,5782450
176,Brandan Wright,wrighbr03,MEM,5700000,6000000,,,,,MLE,11700000
177,Tyler Johnson,johnsty01,MIA,5628000,5881260,19245370,19245370,,,Cap Space,30754630
178,Wesley Johnson,johnswe01,LAC,5628000,5881260,6134000,,,,Cap Space,11509260
179,Jared Sullinger,sullija01,PHO,5628000,,,,,,,5628000
180,Tony Allen,allento01,MEM,5505618,,,,,,Bird Rights,5505618
181,Deron Williams,willide01,BRK,5500000,5500000,5500000,5500000,,,,22000000
182,Nick Young,youngni01,LAL,5443918,,,,,,Cap Space,5443918
183,Josh Smith,smithjo03,DET,5400000,5400000,5400000,5400000,,,,27000000
184,Jabari Parker,parkeja01,MIL,5374320,6782392,,,,,1st Round Pick,12156712
185,D'Angelo Russell,russeda01,LAL,5332800,5562360,7019698,,,,1st round pick,10895160
186,Cody Zeller,zelleco01,CHO,5318313,12584270,13528090,14471910,15415730,,1st Round Pick,61318313
187,P.J. Tucker,tuckepj01,TOR,5300000,,,,,,Cap Space,1500000
188,Brandon Ingram,ingrabr01,LAL,5281680,5519400,5757120,7265485,,,1st Round pick,10801080
189,Kyle Korver,korveky01,CLE,5239437,,,,,,Bird Rights,5239437
190,Darren Collison,collida01,SAC,5229454,,,,,,MLE,5229454
191,Langston Galloway,gallola01,SAC,5200000,,,,,,Cap Space,5200000
192,Jason Smith,smithja02,WAS,5000000,5225000,5450000,,,,Cap Space,10225000
193,C.J. Watson,watsocj01,ORL,5000000,5000000,,,,,Cap Space,6000000
194,Roy Hibbert,hibbero01,DEN,5000000,,,,,,Cap Space,5000000
195,Luis Scola,scolalu01,BRK,5000000,,,,,,,5000000
196,Jonas Jerebko,jerebjo01,BOS,5000000,,,,,,Bird Rights,5000000
197,Kyle Singler,singlky01,OKC,4837500,4666500,4996000,5333500,,,Bird Rights,14500000
198,Mike Dunleavy,dunlemi02,ATL,4837500,5175000,,,,,Early Bird Rights,6500000
199,Brandon Jennings,jennibr01,NYK,4837318,,,,,,,4837318
200,Joel Embiid,embiijo01,PHI,4826160,6100266,,,,,1st Round Pick,10926426
201,Alex Len,lenal01,PHO,4823621,,,,,,1st Round Pick,4823621
202,Jahlil Okafor,okafoja01,PHI,4788840,4995120,6313832,,,,1st round pick,9783960
203,Jaylen Brown,brownja02,BOS,4743000,4956480,5169960,6534829,,,1st Rd pick,9699480
204,Marcus Morris,morrima03,DET,4625000,5000000,5375000,,,,Bird Rights,15000000
205,Alexis Ajinca,ajincal01,NOP,4600000,4900000,5300000,,,,Early Bird Rights,14800000
206,Derrick Williams,willide02,MIA,4598000,,,,,,,4598000
207,C.J. Miles,milescj01,IND,4583450,,,,,,MLE,4583450
208,Jameer Nelson,nelsoja01,DEN,4540525,4736050,,,,,Cap Space,9276575
209,Nerlens Noel,noelne01,DAL,4384490,,,,,,1st Round Pick,4384490
210,Aaron Gordon,gordoaa01,ORL,4351320,5504420,,,,,1st Round Pick,9855740
211,Greivis Vasquez,vasqugr01,BRK,4347826,,,,,,,4347826
212,Kristaps Porzingis,porzikr01,NYK,4317720,4503600,5697054,,,,1st round pick,8821320
213,Dragan Bender,bendedr01,PHO,4276320,4468800,4661280,5896519,,,1st Round pick,8745120
214,Vince Carter,cartevi01,MEM,4264057,,,,,,,2000000
215,Devin Harris,harride01,DAL,4228000,4403000,,,,,Cap Space,8631000
216,J.J. Barea,bareajo01,DAL,4096950,3903900,3710850,,,,Cap Space,11711700
217,Ben McLemore,mclembe01,SAC,4008882,,,,,,1st Round Pick,4008882
218,Lance Stephenson,stephla01,IND,4000000,4180000,4360000,,,,Cap space,8180000
219,Leandro Barbosa,barbole01,PHO,4000000,4000000,,,,,Cap Space,4500000
220,Udonis Haslem,hasleud01,MIA,4000000,,,,,,Cap Space,4000000
221,James Johnson,johnsja01,MIA,4000000,,,,,,Cap Space,4000000
222,Lavoy Allen,allenla01,IND,4000000,4300000,,,,,,4000000
223,Kris Humphries,humphkr01,ATL,4000000,,,,,,Cap Space,4000000
224,Dante Exum,exumda01,UTA,3940320,4992385,,,,,1st Round Pick,8932705
225,Jordan Hill,hilljo01,MIN,3911380,,,,,,Cap Space,3911380
226,Mario Hezonja,hezonma01,ORL,3909840,4078320,5167231,,,,1st round pick,7988160
227,Kyle O'Quinn,oquinky01,NYK,3900000,4100000,4250000,,,,Bird Rights,8000000
228,Kris Dunn,dunnkr01,MIN,3872520,4046760,4221000,5348007,,,1st Round pick,7919280
229,Thabo Sefolosha,sefolth01,ATL,3850000,,,,,,,3850000
230,Nemanja Bjelica,bjeline01,MIN,3800000,3949999,,,,,MLE,7749999
231,Nick Collison,collini01,OKC,3750000,,,,,,Bird Rights,3750000
232,Bojan Bogdanovic,bogdabo02,WAS,3730653,,,,,,MLE,3730653
233,Kentavious Caldwell-Pope,caldwke01,DET,3678319,,,,,,1st Round Pick,3678319
234,Quincy Pondexter,pondequ01,NOP,3617978,3853931,,,,,1st Round Pick,7471909
235,Patty Mills,millspa02,SAS,3578948,,,,,,Bird Rights,3578948
236,Marcus Smart,smartma01,BOS,3578880,4538020,,,,,1st Round Pick,8116900
237,Willie Cauley-Stein,caulewi01,SAC,3551160,3704160,4696875,,,,1st round pick,7255320
238,Will Barton,bartowi01,DEN,3533333,3533333,,,,,Bird Rights,7066666
239,Buddy Hield,hieldbu01,SAC,3517200,3675480,3833760,4861208,,,1st Round pick,7192680
240,Paul Pierce,piercpa01,LAC,3500000,3700000,,,,,Mini MLE,7200000
241,Brandon Rush,rushbr01,MIN,3500000,,,,,,Cap Space,3500000
242,Mike Miller,millemi01,DEN,3500000,3500000,,,,,Cap Space,3500000
243,Anthony Morrow,morroan01,CHI,3488000,,,,,,Cap Space,3488000
244,Trey Burke,burketr01,WAS,3386598,,,,,,1st Round Pick,3386598
245,Mike Scott,scottmi01,PHO,3333334,,,,,,,
246,K.J. McDaniels,mcdankj01,BRK,3333333,3333334,,,,,Mid-level exception,6666667
247,Troy Daniels,danietr01,MEM,3332940,3408520,3258540,,,,Cap Space,10000000
248,Julius Randle,randlju01,LAL,3267120,4149242,,,,,1st Round Pick,7416362
249,Emmanuel Mudiay,mudiaem01,DEN,3241800,3381480,4294480,,,,1st round pick,6623280
250,C.J. McCollum,mccolcj01,POR,3219579,23962573,25759766,27556959,29354152,,1st Round Pick,109853029
251,Jamal Murray,murraja01,DEN,3210840,3355320,3499800,4444746,,,1st Round pick,6566160
252,Michael Carter-Williams,cartemi01,CHI,3183526,,,,,,1st Round Pick,3183526
253,Steven Adams,adamsst01,OKC,3140517,22471910,24157303,25842697,27528090,,1st Round Pick,103140517
254,Kelly Olynyk,olynyke01,BOS,3094014,,,,,,1st Round Pick,3094014
255,Shabazz Muhammad,muhamsh01,MIN,3046299,,,,,,1st Round Pick,3046299
256,Justin Hamilton,hamilju01,BRK,3000000,3000000,,,,,Cap Space,6000000
257,Tibor Pleiss,pleisti01,PHI,3000000,500000,,,,,,3500000
258,Omri Casspi,casspom01,NOP,3000000,,,,,,,3000000
259,Giannis Antetokounmpo,antetgi01,MIL,2995421,22471910,24157303,25842697,27528090,,1st Round Pick,102995421
260,Nik Stauskas,stausni01,PHI,2993040,3807146,,,,,1st Round Pick,6800186
261,Dante Cunningham,cunnida01,NOP,2978250,,,,,,MLE,2978250
262,Stanley Johnson,johnsst04,DET,2969880,3097800,3940402,,,,1st round pick,6067680
263,Marquese Chriss,chrisma01,PHO,2941440,3073800,3206160,4078236,,,1st Rd pick,6015240
264,Mindaugas Kuzminskas,kuzmimi01,NYK,2898000,3028410,,,,,Room Exception,5926410
265,James Ennis,ennisja01,MEM,2898000,3028410,,,,,Room exception,5926410
266,Seth Curry,curryse01,DAL,2898000,3028410,,,,,Room exception,5926410
267,Dewayne Dedmon,dedmode01,SAS,2898000,,,,,,Room exception,2898000
268,Dion Waiters,waitedi01,MIA,2898000,,,,,,Room exception,2898000
269,Nene Hilario,hilarne01,HOU,2898000,,,,,,Room exception,2898000
270,Zaza Pachulia,pachuza01,GSW,2898000,,,,,,Room Exception,2898000
271,Tomas Satoransky,satorto01,WAS,2870813,3000000,3129187,,,,Cap Space,9000000
272,Noah Vonleh,vonleno01,POR,2751360,3505233,,,,,1st Round Pick,6256593
273,Frank Kaminsky,kaminfr01,CHO,2730000,2847600,3627842,,,,1st round pick,5577600
274,Dennis Schroder,schrode01,ATL,2708582,15500000,15500000,15500000,15500000,,1st Round Pick,64708582
275,Jakob Poeltl,poeltja01,TOR,2703960,2825640,2947320,3754886,,,1st Round pick,5529600
276,Aaron Brooks,brookaa01,IND,2700000,,,,,,Cap Space,2700000
277,Elfrid Payton,paytoel01,ORL,2613600,3332340,,,,,1st Round Pick,5945940
278,Justise Winslow,winslju01,MIA,2593440,2705040,3448926,,,,1st round pick,5298480
279,Thon Maker,makerth01,MIL,2568600,2684160,2799720,3569643,,,1st Round pick,5252760
280,Ronnie Price,pricero01,OKC,2557545,2442455,,,,,,5000000
281,Richard Jefferson,jefferi01,CLE,2500000,2500000,2612500,,,,Cap Space,5000000
282,Malcolm Delaney,delanma01,ATL,2500000,2500000,,,,,Room Exception,5000000
283,Randy Foye,foyera01,BRK,2500000,,,,,,Cap Space,2500000
284,Doug McDermott,mcderdo01,OKC,2483040,3294994,,,,,1st Round Pick,5778034
285,Myles Turner,turnemy01,IND,2463840,2569920,3410284,,,,1st round pick,5033760
286,Domantas Sabonis,sabondo01,OKC,2440200,2550000,2659800,3529555,,,1st Round pick,4990200
287,Shelvin Mack,macksh01,UTA,2433334,,,,,,,
288,Tony Snell,snellto01,MIL,2368327,,,,,,1st Round Pick,2368327
289,Gorgui Dieng,dienggo01,MIN,2348783,14112360,15170787,16229213,17287640,,1st Round Pick,65148783
290,Trey Lyles,lylestr01,UTA,2340600,2441400,3364249,,,,1st round pick,4782000
291,Mason Plumlee,plumlma01,DEN,2328530,,,,,,1st Round Pick,2328530
292,Dario Saric,saricda01,PHI,2318280,2422560,2526840,3481986,,,1st Round pick,4740840
293,Taurean Prince,princta02,ATL,2318280,2422560,2526840,3481986,,,1st Round pick,4740840
294,Tim Hardaway,hardati02,ATL,2281605,,,,,,1st Round Pick,2281605
295,Reggie Bullock,bullore01,DET,2255644,,,,,,1st Round Pick,2255644
296,Joe Ingles,inglejo01,UTA,2250000,,,,,,Cap Space,2250000
297,Zach LaVine,lavinza01,MIN,2240880,3202217,,,,,1st Round Pick,5443097
298,Devin Booker,bookede01,PHO,2223600,2319360,3314365,,,,1st round pick,4542960
299,Luc Mbah a Moute,mbahalu01,LAC,2203000,2302135,,,,,Bi-annual Exception,2203000
300,Georgios Papagiannis,papagge01,SAC,2202240,2301360,2400480,3430288,,,1st Round pick,4503600
301,Mo Williams,willima01,DEN,2200000,,,,,,,2200000
302,Andre Roberson,roberan03,OKC,2183072,,,,,,1st Round Pick,2183072
303,T.J. Warren,warretj01,PHO,2128920,3152931,,,,,1st Round Pick,5281851
304,Rudy Gobert,goberru01,UTA,2121288,21224719,22741573,24258427,25775281,,1st Round Pick,96121288
305,Cameron Payne,payneca01,CHI,2112480,2203440,3263295,,,,1st round pick,4315920
306,Archie Goodwin,goodwar01,PHO,2094089,,,,,,,2094089
307,Denzel Valentine,valende01,CHI,2092200,2186400,2280600,3377569,,,1st Round pick,4278600
308,Tim Frazier,fraziti01,NOP,2090000,2000000,,,,,Room exception,4090000
309,Adreian Payne,paynead01,MIN,2022240,,,,,,1st Round Pick,2022240
310,Kelly Oubre,oubreke01,WAS,2006640,2093040,3208630,,,,1st round pick,4099680
311,Juan Hernangomez,hernaju01,DEN,1987440,2076840,2166360,3321030,,,1st Round pick,4064280
312,Anderson Varejao,varejan01,POR,1984005,1984005,1984005,1984005,1984005,,,9920025
313,Lucas Nogueira,noguelu01,TOR,1921320,2947305,,,,,1st Round Pick,4868625
314,Jusuf Nurkic,nurkiju01,POR,1921320,2947305,,,,,1st Round Pick,4868625
315,Terry Rozier,roziete01,BOS,1906440,1988520,3050390,,,,1st round pick,3894960
