Player,Link,Tm,Money,Signed Using,Year
Stephen Curry,curryst01,GSW,34682550,Bird Rights,2018
LeBron James,jamesle01,CLE,33285709,Early Bird,2018
Paul Millsap,millspa01,DEN,31269231,Cap space,2018
Gordon Hayward,haywago01,BOS,29727900,Cap space,2018
Blake Griffin,griffbl01,DET,29512900,Bird Rights,2018
Kyle Lowry,lowryky01,TOR,28703704,Bird Rights,2018
Russell Westbrook,westbru01,OKC,28530608,Bird Rights,2018
Mike Conley,conlemi01,MEM,28530608,Cap Space,2018
James Harden,hardeja01,HOU,28299399,Bird Rights,2018
DeMar DeRozan,derozde01,TOR,27739975,Cap Space,2018
Al Horford,horfoal01,BOS,27734405,Cap Space,2018
Carmelo Anthony,anthoca01,OKC,26243760,Bird Rights,2018
Damian Lillard,lillada01,POR,26153057,1st Round Pick,2018
Jrue Holiday,holidjr01,NOP,25686667,Bird Rights,2018
Chris Bosh,boshch01,MIA,25289390,,2018
Kevin Durant,duranke01,GSW,25000000,Non-Bird Rights,2018
Otto Porter,porteot01,WAS,24773250,Bird Rights,2018
Chris Paul,paulch01,HOU,24599495,Bird Rights,2018
CJ McCollum,mccolcj01,POR,23962573,1st Round Pick,2018
Bradley Beal,bealbr01,WAS,23775506,Cap Space,2018
Anthony Davis,davisan02,NOP,23775506,1st Round Pick,2018
Andre Drummond,drumman01,DET,23775506,Cap Space,2018
Hassan Whiteside,whiteha01,MIA,23775506,Cap Space,2018
Dwight Howard,howardw01,CHO,23500000,Cap Space,2018
Chandler Parsons,parsoch01,MEM,23112004,Cap Space,2018
Harrison Barnes,barneha02,DAL,23112004,Cap Space,2018
J.J. Redick,redicjj01,PHI,23000000,Cap space,2018
Marc Gasol,gasolma01,MEM,22642350,Bird Rights,2018
Kevin Love,loveke01,CLE,22642350,Bird Rights,2018
Brook Lopez,lopezbr01,LAL,22642350,Bird Rights,2018
DeAndre Jordan,jordade01,LAC,22642350,Bird Rights,2018
Steven Adams,adamsst01,OKC,22471910,1st Round Pick,2018
Giannis Antetokounmpo,antetgi01,MIL,22471910,1st Round Pick,2018
Nicolas Batum,batumni01,CHO,22434783,Cap Space,2018
Rudy Gobert,goberru01,UTA,21974719,1st Round Pick,2018
LaMarcus Aldridge,aldrila01,SAS,21461010,Cap Space,2018
Victor Oladipo,oladivi01,IND,21000000,1st Round Pick,2018
Enes Kanter,kanteen01,NYK,20566802,Bird Rights,2018
Danilo Gallinari,gallida01,LAC,20559599,Sign and Trade,2018
Serge Ibaka,ibakase01,TOR,20061729,Cap space,2018
George Hill,hillge01,CLE,20000000,Cap space,2018
Ryan Anderson,anderry01,HOU,19578455,Cap Space,2018
Paul George,georgpa01,OKC,19508958,1st Round Pick,2018
Allen Crabbe,crabbal01,BRK,19332500,Cap Space,2018
Jimmy Butler,butleji01,MIN,19301070,Bird Rights,2018
Jeff Teague,teaguje01,MIN,19000000,Cap space,2018
Kawhi Leonard,leonaka01,SAS,18868625,Bird Rights,2018
Kyrie Irving,irvinky01,BOS,18868625,Bird Rights,2018
John Wall,walljo01,WAS,18063850,Bird Rights,2018
DeMarcus Cousins,couside01,NOP,18063850,1st Round Pick,2018
Wesley Matthews,matthwe02,DAL,17884176,Cap Space,2018
