Player,Link,Tm,Money,Signed Using,Year
Zach Randolph,randoza01,MEM,10361445,Bird Rights,2017
Al Jefferson,jeffeal01,IND,10230179,Cap Space,2017
Alec Burks,burksal01,UTA,10154495,1st Round Pick,2017
Terrence Ross,rosste01,ORL,10000000,Rookie scale extension,2017
Danny Green,greenda02,SAS,10000000,Bird Rights,2017
Omer Asik,asikom01,NOP,9904494,Bird Rights,2017
Iman Shumpert,shumpim01,CLE,9700000,Bird Rights,2017
Matthew Dellavedova,dellama01,MIL,9607500,Cap Space,2017
Jerryd Bayless,bayleje01,PHI,9424084,Cap Space,2017
Trevor Booker,booketr01,BRK,9250000,Cap Space,2017
Meyers Leonard,leoname01,POR,9213484,Cap Space,2017
Gerald Henderson,hendege02,PHI,9000000,Cap Space,2017
Deron Williams,willide01,DAL,9000000,,2017
Maurice Harkless,harklma01,POR,8988764,Cap Space,2017
Taj Gibson,gibsota01,OKC,8950000,Bird Rights,2017
Jeff Teague,teaguje01,IND,8800000,Bird Rights,2017
Tiago Splitter,splitti01,PHI,8550000,Bird Rights,2017
Ersan Ilyasova,ilyaser01,ATL,8400000,Bird Rights,2017
Dwight Powell,poweldw01,DAL,8375000,Cap Space,2017
Avery Bradley,bradlav01,BOS,8269663,Bird Rights,2017
E'Twaun Moore,mooreet01,NOP,8081363,Cap Space,2017
Darrell Arthur,arthuda01,DEN,8070175,Cap Space,2017
Kosta Koufos,koufoko01,SAC,8046500,Cap Space,2017
Garrett Temple,templga01,SAC,8000000,Cap Space,2017
Anthony Tolliver,tollian01,SAC,8000000,Cap Space,2017
George Hill,hillge01,UTA,8000000,Bird Rights,2017
Sergio Rodriguez,rodrise01,PHI,8000000,Cap Space,2017
Kevin Garnett,garneke01,MIN,8000000,,2017
Tyler Zeller,zellety01,BOS,8000000,Cap Space,2017
Trevor Ariza,arizatr01,HOU,7806971,Bird Rights,2017
Channing Frye,fryech01,CLE,7806971,Cap Space,2017
Jose Calderon,caldejo01,LAL,7708427,,2017
Al-Farouq Aminu,aminual01,POR,7680965,Cap Space,2017
Cole Aldrich,aldrico01,MIN,7643979,Cap Space,2017
Corey Brewer,breweco01,LAL,7600000,Cap Space,2017
Markieff Morris,morrima02,WAS,7400000,Bird Rights,2017
Festus Ezeli,ezelife01,POR,7400000,Cap Space,2017
J.J. Redick,redicjj01,LAC,7377500,Bird Rights,2017
Cory Joseph,josepco01,TOR,7330000,Cap Space,2017
D.J. Augustin,augusdj01,ORL,7250000,Cap Space,2017
Boban Marjanovic,marjabo01,DET,7000000,Cap Space,2017
Lou Williams,willilo02,HOU,7000000,Cap Space,2017
Boris Diaw,diawbo01,UTA,7000000,Bird Rights,2017
Rodney Stuckey,stuckro01,IND,7000000,,2017
Ed Davis,davised01,POR,6666667,Cap Space,2017
Isaiah Thomas,thomais02,BOS,6587132,,2017
Victor Oladipo,oladivi01,OKC,6552960,1st Round Pick,2017
Jodie Meeks,meeksjo01,ORL,6540000,Cap Space,2017
Jeremy Lamb,lambje01,CHO,6511628,Rookie scale extension,2017
Carl Landry,landrca01,PHI,6500000,,2017
Aron Baynes,baynear01,DET,6500000,Cap Space,2017
Spencer Hawes,hawessp01,MIL,6348759,MLE,2017
Marco Belinelli,belinma01,CHO,6333333,Cap Space,2017
Jae Crowder,crowdja01,BOS,6286408,Bird Rights,2017
Lance Thomas,thomala01,NYK,6191000,Cap Space,2017
Tarik Black,blackta01,LAL,6191000,Cap Space,2017
Matt Barnes,barnema02,SAC,6125000,,2017
Andrew Nicholson,nichoan01,BRK,6088993,Cap Space,2017
Patrick Patterson,pattepa01,TOR,6050000,Bird Rights,2017
Andrew Wiggins,wiggian01,MIN,6006600,1st Round Pick,2017
Ish Smith,smithis01,DET,6000000,Cap Space,2017
Patrick Beverley,beverpa01,HOU,6000000,Bird Rights,2017
Wayne Ellington,ellinwa01,MIA,6000000,Cap Space,2017
Ramon Sessions,sessira01,CHO,6000000,Cap Space,2017
Alex Abrines,abrinal01,OKC,5994764,Cap Space,2017
Karl-Anthony Towns,townska01,MIN,5960160,1st round pick,2017
Ben Simmons,simmobe01,PHI,5903160,1st Round pick,2017
Otto Porter,porteot01,WAS,5893981,1st Round Pick,2017
Josh McRoberts,mcrobjo01,MIA,5782450,MLE,2017
Shaun Livingston,livinsh01,GSW,5782450,MLE,2017
Nikola Mirotic,mirotni01,CHI,5782450,Cap Space,2017
Brandan Wright,wrighbr03,MEM,5700000,MLE,2017
Tyler Johnson,johnsty01,MIA,5628000,Cap Space,2017
Wesley Johnson,johnswe01,LAC,5628000,Cap Space,2017
Jared Sullinger,sullija01,PHO,5628000,,2017
Tony Allen,allento01,MEM,5505618,Bird Rights,2017
Deron Williams,willide01,BRK,5500000,,2017
Nick Young,youngni01,LAL,5443918,Cap Space,2017
Josh Smith,smithjo03,DET,5400000,,2017
Jabari Parker,parkeja01,MIL,5374320,1st Round Pick,2017
D'Angelo Russell,russeda01,LAL,5332800,1st round pick,2017
Cody Zeller,zelleco01,CHO,5318313,1st Round Pick,2017
P.J. Tucker,tuckepj01,TOR,5300000,Cap Space,2017
Brandon Ingram,ingrabr01,LAL,5281680,1st Round pick,2017
Kyle Korver,korveky01,CLE,5239437,Bird Rights,2017
Darren Collison,collida01,SAC,5229454,MLE,2017
Langston Galloway,gallola01,SAC,5200000,Cap Space,2017
Jason Smith,smithja02,WAS,5000000,Cap Space,2017
C.J. Watson,watsocj01,ORL,5000000,Cap Space,2017
Roy Hibbert,hibbero01,DEN,5000000,Cap Space,2017
Luis Scola,scolalu01,BRK,5000000,,2017
Jonas Jerebko,jerebjo01,BOS,5000000,Bird Rights,2017
Kyle Singler,singlky01,OKC,4837500,Bird Rights,2017
Mike Dunleavy,dunlemi02,ATL,4837500,Early Bird Rights,2017
Brandon Jennings,jennibr01,NYK,4837318,,2017
Joel Embiid,embiijo01,PHI,4826160,1st Round Pick,2017
Alex Len,lenal01,PHO,4823621,1st Round Pick,2017
Jahlil Okafor,okafoja01,PHI,4788840,1st round pick,2017
Jaylen Brown,brownja02,BOS,4743000,1st Rd pick,2017
Marcus Morris,morrima03,DET,4625000,Bird Rights,2017
Alexis Ajinca,ajincal01,NOP,4600000,Early Bird Rights,2017
Derrick Williams,willide02,MIA,4598000,,2017
C.J. Miles,milescj01,IND,4583450,MLE,2017
Jameer Nelson,nelsoja01,DEN,4540525,Cap Space,2017
Nerlens Noel,noelne01,DAL,4384490,1st Round Pick,2017
Aaron Gordon,gordoaa01,ORL,4351320,1st Round Pick,2017
Greivis Vasquez,vasqugr01,BRK,4347826,,2017
Kristaps Porzingis,porzikr01,NYK,4317720,1st round pick,2017
Dragan Bender,bendedr01,PHO,4276320,1st Round pick,2017
Vince Carter,cartevi01,MEM,4264057,,2017
Devin Harris,harride01,DAL,4228000,Cap Space,2017
J.J. Barea,bareajo01,DAL,4096950,Cap Space,2017
Ben McLemore,mclembe01,SAC,4008882,1st Round Pick,2017
Lance Stephenson,stephla01,IND,4000000,Cap space,2017
Leandro Barbosa,barbole01,PHO,4000000,Cap Space,2017
Udonis Haslem,hasleud01,MIA,4000000,Cap Space,2017
James Johnson,johnsja01,MIA,4000000,Cap Space,2017
Lavoy Allen,allenla01,IND,4000000,,2017
Kris Humphries,humphkr01,ATL,4000000,Cap Space,2017
Dante Exum,exumda01,UTA,3940320,1st Round Pick,2017
Jordan Hill,hilljo01,MIN,3911380,Cap Space,2017
Mario Hezonja,hezonma01,ORL,3909840,1st round pick,2017
Kyle O'Quinn,oquinky01,NYK,3900000,Bird Rights,2017
Kris Dunn,dunnkr01,MIN,3872520,1st Round pick,2017
Thabo Sefolosha,sefolth01,ATL,3850000,,2017
Nemanja Bjelica,bjeline01,MIN,3800000,MLE,2017
Nick Collison,collini01,OKC,3750000,Bird Rights,2017
Bojan Bogdanovic,bogdabo02,WAS,3730653,MLE,2017
Kentavious Caldwell-Pope,caldwke01,DET,3678319,1st Round Pick,2017
Quincy Pondexter,pondequ01,NOP,3617978,1st Round Pick,2017
Patty Mills,millspa02,SAS,3578948,Bird Rights,2017
Marcus Smart,smartma01,BOS,3578880,1st Round Pick,2017
Willie Cauley-Stein,caulewi01,SAC,3551160,1st round pick,2017
Will Barton,bartowi01,DEN,3533333,Bird Rights,2017
Buddy Hield,hieldbu01,SAC,3517200,1st Round pick,2017
Paul Pierce,piercpa01,LAC,3500000,Mini MLE,2017
Brandon Rush,rushbr01,MIN,3500000,Cap Space,2017
Mike Miller,millemi01,DEN,3500000,Cap Space,2017
Anthony Morrow,morroan01,CHI,3488000,Cap Space,2017
Trey Burke,burketr01,WAS,3386598,1st Round Pick,2017
Mike Scott,scottmi01,PHO,3333334,,2017
K.J. McDaniels,mcdankj01,BRK,3333333,Mid-level exception,2017
