Player,Link,Tm,Money,Signed Using,Year
Stephen Curry,curryst01,GSW,37457154,Bird Rights,2019
Chris Paul,paulch01,HOU,35654150,,2019
Russell Westbrook,westbru01,OKC,35654150,Bird Rights,2019
LeBron James,jamesle01,LAL,35654150,,2019
Blake Griffin,griffbl01,DET,32088932,Bird Rights,2019
Gordon Hayward,haywago01,BOS,31214295,Cap space,2019
Kyle Lowry,lowryky01,TOR,31200000,Bird Rights,2019
Paul George,georgpa01,OKC,30560700,Maximum Salary,2019
Mike Conley,conlemi01,MEM,30521116,Cap Space,2019
James Harden,hardeja01,HOU,30431854,Bird Rights,2019
Kevin Durant,duranke01,GSW,30000000,,2019
Paul Millsap,millspa01,DEN,29730769,Cap space,2019
Al Horford,horfoal01,BOS,28928710,Cap Space,2019
Damian Lillard,lillada01,POR,27977689,1st Round Pick,2019
DeMar DeRozan,derozde01,SAS,27739975,Cap Space,2019
Chris Bosh,boshch01,MIA,26837720,,2019
Otto Porter,porteot01,CHI,26011913,Bird Rights,2019
Jrue Holiday,holidjr01,NOP,25976111,Bird Rights,2019
CJ McCollum,mccolcj01,POR,25759766,1st Round Pick,2019
Carmelo Anthony,anthoca01,ATL,25534253,,2019
Andrew Wiggins,wiggian01,MIN,25467250,1st Round Pick,2019
Joel Embiid,embiijo01,PHI,25467250,1st Round Pick,2019
Bradley Beal,bealbr01,WAS,25434263,Cap Space,2019
Anthony Davis,davisan02,NOP,25434263,1st Round Pick,2019
Andre Drummond,drumman01,DET,25434263,Cap Space,2019
Hassan Whiteside,whiteha01,MIA,25434263,Cap Space,2019
Nikola Jokic,jokicni01,DEN,24605181,,2019
Steven Adams,adamsst01,OKC,24157304,1st Round Pick,2019
Giannis Antetokounmpo,antetgi01,MIL,24157304,1st Round Pick,2019
Kevin Love,loveke01,CLE,24119025,Bird Rights,2019
Marc Gasol,gasolma01,TOR,24119025,Bird Rights,2019
Chandler Parsons,parsoch01,MEM,24107258,Cap Space,2019
Harrison Barnes,barneha02,SAC,24107258,Cap Space,2019
Nicolas Batum,batumni01,CHO,24000000,Cap Space,2019
Rudy Gobert,goberru01,UTA,23241573,1st Round Pick,2019
Kawhi Leonard,leonaka01,TOR,23114067,Bird Rights,2019
DeAndre Jordan,jordade01,NYK,22900000,,2019
LaMarcus Aldridge,aldrila01,SAS,22347015,Cap Space,2019
Serge Ibaka,ibakase01,TOR,21666667,Cap space,2019
Aaron Gordon,gordoaa01,ORL,21590909,,2019
Danilo Gallinari,gallida01,LAC,21587579,Sign and Trade,2019
Victor Oladipo,oladivi01,IND,21000000,1st Round Pick,2019
Jimmy Butler,butleji01,PHI,20445779,Bird Rights,2019
Ryan Anderson,anderry01,MIA,20421546,Cap Space,2019
Kyrie Irving,irvinky01,BOS,20099189,Bird Rights,2019
Jabari Parker,parkeja01,WAS,20000000,,2019
Zach LaVine,lavinza01,CHI,19500000,,2019
Tyler Johnson,johnsty01,PHO,19245370,Cap Space,2019
John Wall,walljo01,WAS,19169800,Bird Rights,2019
Jeff Teague,teaguje01,MIN,19000000,Cap space,2019
George Hill,hillge01,MIL,19000000,Cap space,2019
Klay Thompson,thompkl01,GSW,18988725,1st Round Pick,2019
Dwight Howard,howardw01,BRK,18919725,,2019
Wesley Matthews,matthwe02,NYK,18622514,,2019
Enes Kanter,kanteen01,NYK,18622514,,2019
Joakim Noah,noahjo01,NYK,18530000,,2019
Allen Crabbe,crabbal01,BRK,18500000,Cap Space,2019
Goran Dragic,dragigo01,MIA,18109175,Bird Rights,2019
Kent Bazemore,bazemke01,ATL,18089887,Cap Space,2019
Evan Turner,turneev01,POR,17868852,Cap Space,2019
Draymond Green,greendr01,GSW,17469565,Bird Rights,2019
Tristan Thompson,thomptr01,CLE,17469565,Bird Rights,2019
Tim Hardaway,hardati02,DAL,17325000,Cap space,2019
Reggie Jackson,jacksre01,DET,17043478,Bird Rights,2019
Evan Fournier,fournev01,ORL,17000000,Cap Space,2019
Bismack Biyombo,biyombi01,CHO,17000000,Cap Space,2019
Derrick Favors,favorde01,UTA,16900000,,2019
Jonas Valanciunas,valanjo01,MEM,16539326,1st Round Pick,2019
Gary Harris,harriga01,DEN,16517857,1st Round Pick,2019
Andre Iguodala,iguodan01,GSW,16000000,Bird Rights,2019
Timofey Mozgov,mozgoti01,ORL,16000000,Cap Space,2019
Ian Mahinmi,mahinia01,WAS,15944154,Cap Space,2019
Dennis Schroder,schrode01,OKC,15500000,1st Round Pick,2019
DeMarre Carroll,carrode01,BRK,15400000,Cap Space,2019
Clint Capela,capelca01,HOU,15293104,,2019
Gorgui Dieng,dienggo01,MIN,15170787,1st Round Pick,2019
Pau Gasol,gasolpa01,SAS,15100000,,2019
Eric Bledsoe,bledser01,MIL,15000000,Bird Rights,2019
Trevor Ariza,arizatr01,WAS,15000000,Cap Space,2019
Ricky Rubio,rubiori01,UTA,14975000,1st Round Pick,2019
Tobias Harris,harrito02,PHI,14800000,Bird Rights,2019
J.R. Smith,smithjr01,CLE,14720000,Bird Rights,2019
