Player,Link,Tm,Money,Signed Using,Year
Kobe Bryant,,LAL,30453805,Bird Rights,2014
Dirk Nowitzki,,DAL,22721381,Bird Rights,2014
Amar'e Stoudemire,,NYK,21679893,Bird Rights,2014
Joe Johnson,,BRK,21466718,Bird Rights,2014
Carmelo Anthony,,NYK,21388953,Bird Rights,2014
Dwight Howard,,HOU,20513178,Cap Space,2014
Pau Gasol,,LAL,19285850,Bird Rights,2014
LeBron James,,MIA,19067500,Bird Rights,2014
Chris Bosh,,MIA,19067500,Bird Rights,2014
Dwyane Wade,,MIA,18673000,Bird Rights,2014
Chris Paul,,LAC,18668431,Bird Rights,2014
Deron Williams,,BRK,18466130,Bird Rights,2014
Rudy Gay,,SAC,17888931,Bird Rights,2014
Kevin Durant,,OKC,17832627,Bird Rights,2014
Zach Randolph,,MEM,17800000,Bird Rights,2014
Derrick Rose,,CHI,17632688,Bird Rights,2014
Blake Griffin,,LAC,16441500,Bird Rights,2014
Paul Pierce,,BRK,15333334,Bird Rights,2014
Carlos Boozer,,CHI,15300000,Bird Rights,2014
LaMarcus Aldridge,,POR,14878000,Bird Rights,2014
Marc Gasol,,MEM,14860523,Bird Rights,2014
Russell Westbrook,,OKC,14693906,Bird Rights,2014
Kevin Love,,MIN,14693906,Cap Space,2014
Brook Lopez,,BRK,14693906,Bird Rights,2014
Emeka Okafor,,PHO,14487500,Bird Rights,2014
Eric Gordon,,NOP,14283844,Bird Rights,2014
Roy Hibbert,,IND,14283844,Bird Rights,2014
Luol Deng,,CLE,14275000,Bird Rights,2014
Tyson Chandler,,NYK,14100538,Bird Rights,2014
Danny Granger,,IND,14021788,Bird Rights,2014
Andrew Bogut,,GSW,14000000,Bird Rights,2014
David Lee,,GSW,13878000,Bird Rights,2014
James Harden,,HOU,13701250,Bird Rights,2014
Josh Smith,,DET,13500000,Cap Space,2014
Al Jefferson,,CHA,13500000,Cap Space,2014
Ben Gordon,,CHA,13200000,Cap Space,2014
Nene Hilario,,WAS,13000000,Bird Rights,2014
Andre Iguodala,,GSW,12868632,Bird Rights,2014
Tony Parker,,SAS,12500000,Bird Rights,2014
Kevin Garnett,,BRK,12443735,Bird Rights,2014
Serge Ibaka,,OKC,12350000,Bird Rights,2014
Nikola Pekovic,,MIN,12100000,Bird Rights,2014
David West,,IND,12000000,Early Bird Rights,2014
Kris Humphries,,BOS,12000000,Bird Rights,2014
Al Horford,,ATL,12000000,Bird Rights,2014
Rajon Rondo,,BOS,11954545,Bird Rights,2014
Andrea Bargnani,,NYK,11862500,Bird Rights,2014
Nicolas Batum,,POR,11295250,Bird Rights,2014
Joakim Noah,,CHI,11100000,Bird Rights,2014
Richard Jefferson,,UTA,11046000,Bird Rights,2014
DeAndre Jordan,,LAC,10986550,Bird Rights,2014
Ty Lawson,,DEN,10786517,Bird Rights,2014
JaVale McGee,,DEN,10750000,Bird Rights,2014
Tim Duncan,,SAS,10361446,Bird Rights,2014
Tyreke Evans,,NOP,10300000,Bird Rights,2014
Danilo Gallinari,,DEN,10146925,Bird Rights,2014
Gerald Wallace,,BOS,10105855,Bird Rights,2014
Tiago Splitter,,SAS,10000000,Bird Rights,2014
Stephen Curry,,GSW,9887642,Bird Rights,2014
DeMar DeRozan,,TOR,9500000,Bird Rights,2014
Paul Millsap,,ATL,9500000,Cap Space,2014
Shawn Marion,,DAL,9316796,Bird Rights,2014
Steve Nash,,LAL,9300500,Bird Rights,2014
Jrue Holiday,,NOP,9213484,Bird Rights,2014
Anderson Varejao,,CLE,9036364,Bird Rights,2014
Andris Biedrins,,UTA,9000000,Bird Rights,2014
Kendrick Perkins,,OKC,8977437,Bird Rights,2014
Jeff Green,,BOS,8965000,Bird Rights,2014
Thaddeus Young,,PHI,8850000,Bird Rights,2014
Jameer Nelson,,ORL,8600000,Bird Rights,2014
Charlie Villanueva,,DET,8580000,Cap Space,2014
Rodney Stuckey,,DET,8500000,Bird Rights,2014
Jeremy Lin,,HOU,8374646,Cap Space,2014
Omer Asik,,HOU,8374646,Cap Space,2014
Nenad Krstic,,BOS,8314674,,2014
Ryan Anderson,,NOP,8308500,Bird Rights,2014
Mike Conley,,MEM,8200001,Cap Space,2014
Marcus Thornton,,SAC,8050000,Cap Space,2014
Caron Butler,,PHO,8000000,Cap Space,2014
O.J. Mayo,,MIL,8000000,Cap Space,2014
George Hill,,IND,8000000,Bird Rights,2014
Monta Ellis,,DAL,8000000,Cap Space,2014
