Player,Link,Tm,Money,Signed Using,Year
Dirk Nowitzki,,DAL,20907128,Bird Rights,2013
Carmelo Anthony,,NYK,20463024,Bird Rights,2013
Amar'e Stoudemire,,NYK,19948799,Bird Rights,2013
Joe Johnson,,BRK,19752645,Bird Rights,2013
Dwight Howard,,LAL,19536360,Bird Rights,2013
Pau Gasol,,LAL,19000000,Bird Rights,2013
Chris Paul,,LAC,17779458,Bird Rights,2013
LeBron James,,MIA,17545000,Bird Rights,2013
Chris Bosh,,MIA,17545000,Bird Rights,2013
Dwyane Wade,,MIA,17182000,Bird Rights,2013
Deron Williams,,BRK,17177795,Bird Rights,2013
Andrew Bynum,,PHI,16889000,Bird Rights,2013
Paul Pierce,,BOS,16790345,Bird Rights,2013
Kevin Durant,,OKC,16669629,Bird Rights,2013
Zach Randolph,,MEM,16500000,Bird Rights,2013
Rudy Gay,,TOR,16460538,Bird Rights,2013
Derrick Rose,,CHI,16402500,Bird Rights,2013
Al Jefferson,,UTA,15000000,Bird Rights,2013
Carlos Boozer,,CHI,15000000,Bird Rights,2013
Andre Iguodala,,DEN,14968250,Bird Rights,2013
Manu Ginobili,,SAS,14107491,Bird Rights,2013
Marc Gasol,,MEM,13891359,Bird Rights,2013
Rashard Lewis,,NOH,13765000,,2013
Russell Westbrook,,OKC,13668750,Bird Rights,2013
Eric Gordon,,NOH,13668750,Bird Rights,2013
Kevin Love,,MIN,13668750,Cap Space,2013
Roy Hibbert,,IND,13668750,Bird Rights,2013
Brook Lopez,,BRK,13668750,Bird Rights,2013
Tyson Chandler,,NYK,13604188,Bird Rights,2013
LaMarcus Aldridge,,POR,13500000,Bird Rights,2013
Emeka Okafor,,WAS,13490000,Bird Rights,2013
Luol Deng,,CHI,13305000,Bird Rights,2013
Josh Smith,,ATL,13200000,Bird Rights,2013
Danny Granger,,IND,13058606,Bird Rights,2013
Nene Hilario,,WAS,13000000,Bird Rights,2013
Andrew Bogut,,GSW,13000000,Bird Rights,2013
David Lee,,GSW,12744000,Bird Rights,2013
Tony Parker,,SAS,12500000,Bird Rights,2013
Kevin Martin,,OKC,12439675,Bird Rights,2013
Ben Gordon,,CHA,12400000,Cap Space,2013
Kris Humphries,,BRK,12000000,Bird Rights,2013
Al Horford,,ATL,12000000,Bird Rights,2013
Hedo Turkoglu,,ORL,11815850,Bird Rights,2013
Kevin Garnett,,BOS,11566265,Bird Rights,2013
Joakim Noah,,CHI,11300000,Bird Rights,2013
Jose Calderon,,DET,11046591,Bird Rights,2013
Monta Ellis,,MIL,11000000,Bird Rights,2013
Rajon Rondo,,BOS,11000000,Bird Rights,2013
Corey Maggette,,DET,10924138,Cap Space,2013
Nicolas Batum,,POR,10825000,Bird Rights,2013
DeAndre Jordan,,LAC,10532977,Bird Rights,2013
Richard Jefferson,,GSW,10164000,Bird Rights,2013
Stephen Jackson,,SAS,10059750,,2013
Andrea Bargnani,,TOR,10000000,Bird Rights,2013
David West,,IND,10000000,Cap Room,2013
JaVale McGee,,DEN,10000000,Bird Rights,2013
Andrei Kirilenko,,MIN,9779349,Cap Space,2013
Gerald Wallace,,BRK,9682435,Bird Rights,2013
Tim Duncan,,SAS,9638554,Bird Rights,2013
Danilo Gallinari,,DEN,9439000,Bird Rights,2013
Andris Biedrins,,GSW,9000000,Bird Rights,2013
Ryan Anderson,,NOH,8700000,Bird Rights,2013
Steve Nash,,LAL,8700000,Bird Rights,2013
Shawn Marion,,DAL,8646364,Bird Rights,2013
Paul Millsap,,UTA,8603633,Bird Rights,2013
Jameer Nelson,,ORL,8600000,Bird Rights,2013
Mo Williams,,UTA,8500000,Bird Rights,2013
Rodney Stuckey,,DET,8500000,Bird Rights,2013
Devin Harris,,ATL,8500000,Bird Rights,2013
Jeff Green,,BOS,8375000,Bird Rights,2013
Omer Asik,,HOU,8374646,Cap Space,2013
Jeremy Lin,,HOU,8374646,Cap Space,2013
Anderson Varejao,,CLE,8368182,Bird Rights,2013
Nenad Krstic,,BOS,,,2013
Kendrick Perkins,,OKC,8300531,Bird Rights,2013
Thaddeus Young,,PHI,8289130,Bird Rights,2013
Marvin Williams,,UTA,8287500,Bird Rights,2013
Lamar Odom,,LAC,8200000,Bird Rights,2013
John Salmons,,SAC,8083000,Bird Rights,2013
Charlie Villanueva,,DET,8060000,Cap Space,2013
Caron Butler,,LAC,8000000,Cap Space,2013
George Hill,,IND,8000000,Bird Rights,2013
Chris Kaman,,DAL,8000000,Cap Space,2013
Tyrus Thomas,,CHA,8000000,Bird Rights,2013
Ersan Ilyasova,,MIL,7900000,Bird Rights,2013
Arron Afflalo,,ORL,7750000,Bird Rights,2013
Marcus Thornton,,SAC,7525000,Cap Space,2013
Mike Conley,,MEM,7505786,Cap Space,2013
Goran Dragic,,PHO,7500000,Cap Space,2013
Beno Udrih,,ORL,7372200,MLE,2013
DeSagana Diop,,CHA,7372200,MLE,2013
Trevor Ariza,,WAS,7258960,DPE,2013
Marcin Gortat,,PHO,7258960,Early Bird Rights,2013
Metta World Peace,,LAL,7258960,MLE,2013
Blake Griffin,,LAC,7226892,1st Round Pick,2013
Steven Hunter,,MEM,,,2013
Robert Horry,,SAS,,,2013
Tayshaun Prince,,MEM,6764045,Bird Rights,2013
Samuel Dalembert,,MIL,6698565,Cap Space,2013
Al Harrington,,ORL,6687400,MLE,2013
Drew Gooden,,MIL,6687400,MLE,2013
Wesley Matthews,,POR,6505320,MLE,2013
Spencer Hawes,,PHI,6500000,Bird Rights,2013
Glen Davis,,ORL,6400000,Bird Rights,2013
Greg Ostertag,,UTA,,,2013
Landry Fields,,TOR,6250000,Cap Room,2013
J.J. Redick,,MIL,6190000,Bird Rights,2013
Francisco Garcia,,HOU,6100000,Bird Rights,2013
Luke Walton,,CLE,6091363,Bird Rights,2013
Richard Hamilton,,DET,6069767,,2013
Amir Johnson,,TOR,6000000,Bird Rights,2013
Channing Frye,,PHO,6000000,MLE,2013
Brandon Bass,,BOS,6000000,Bird Rights,2013
Wilson Chandler,,DEN,5930414,Bird Rights,2013
John Wall,,WAS,5915880,1st Round Pick,2013
James Harden,,HOU,5820417,1st Round Pick,2013
Mike Miller,,MIA,5800000,Cap Space,2013
Jason Richardson,,PHI,5799625,Bird Rights,2013
Kyle Lowry,,TOR,5750000,Bird Rights,2013
Michael Beasley,,PHO,5750000,Cap Space,2013
Nick Young,,PHI,5600000,Cap Space,2013
Chuck Hayes,,SAC,5486250,Cap Room,2013
Rudy Fernandez,,DEN,,,2013
Jarrett Jack,,GSW,5400000,MLE,2013
Kyrie Irving,,CLE,5375760,1st Round Pick,2013
Evan Turner,,PHI,5293080,1st Round Pick,2013
